Time [ms]:	File:	Number of lines:
404	o0167b.lode-8.txt	97865
257	o0169b.lode-1.txt	59928
299	o0169b.lode-2.txt	70531
437	o0169b.lode-3.txt	113769
932	o0169b.lode-4.txt	222833
575	o0169b.lode-5.txt	148321
259	o0169b.lode-6.txt	63418
210	o0169b.lode-7.txt	48739
307	o0169b.lode-8.txt	75177
360	o0183a.lode-1.txt	87698
492	o0183a.lode-2.txt	122851
560	o0183a.lode-3.txt	128238
655	o0183a.lode-4.txt	170466
469	o0183a.lode-5.txt	119021
217	o0183a.lode-6.txt	50568
206	o0183a.lode-7.txt	50439
305	o0183a.lode-8.txt	70857
214	o0185a.lode-1.txt	51574
283	o0185a.lode-2.txt	69870
446	o0185a.lode-3.txt	110113
1198	o0185a.lode-4.txt	282865
694	o0185a.lode-5.txt	179521
151	o0185a.lode-6.txt	34591
99	o0185a.lode-7.txt	23724
153	o0185a.lode-8.txt	33792
395	o0185b.lode-1.txt	98751
559	o0185b.lode-2.txt	140884
687	o0185b.lode-3.txt	174181
1271	o0185b.lode-4.txt	330988
865	o0185b.lode-5.txt	216386
235	o0185b.lode-6.txt	54482
191	o0185b.lode-7.txt	43163
272	o0185b.lode-8.txt	67204
261	o0186a.lode-1.txt	63433
386	o0186a.lode-2.txt	94227
509	o0186a.lode-3.txt	111398
790	o0186a.lode-4.txt	207850
529	o0186a.lode-5.txt	137851
144	o0186a.lode-6.txt	33548
111	o0186a.lode-7.txt	25336
158	o0186a.lode-8.txt	36950
304	o0186b.lode-1.txt	72850
411	o0186b.lode-2.txt	104118
426	o0186b.lode-3.txt	108727
651	o0186b.lode-4.txt	150630
489	o0186b.lode-5.txt	122579
276	o0186b.lode-6.txt	64903
230	o0186b.lode-7.txt	52703
239	o0186b.lode-8.txt	58154
286	o0187b.lode-1.txt	67609
388	o0187b.lode-2.txt	98309
563	o0187b.lode-3.txt	141795
1300	o0187b.lode-4.txt	321575
901	o0187b.lode-5.txt	233821
284	o0187b.lode-6.txt	67678
158	o0187b.lode-7.txt	38083
215	o0187b.lode-8.txt	50657
332	o0188b.lode-1.txt	80663
445	o0188b.lode-2.txt	114437
536	o0188b.lode-3.txt	140463
1051	o0188b.lode-4.txt	261753
686	o0188b.lode-5.txt	178776
238	o0188b.lode-6.txt	58646
203	o0188b.lode-7.txt	45424
260	o0188b.lode-8.txt	60539
323	o0189b.lode-1.txt	78492
449	o0189b.lode-2.txt	113743
619	o0189b.lode-3.txt	158837
1392	o0189b.lode-4.txt	345639
949	o0189b.lode-5.txt	246027
332	o0189b.lode-6.txt	79881
223	o0189b.lode-7.txt	49442
200	o0189b.lode-8.txt	48502
283	o0190b.lode-1.txt	71308
387	o0190b.lode-2.txt	95851
543	o0190b.lode-3.txt	124099
940	o0190b.lode-4.txt	250279
639	o0190b.lode-5.txt	165132
194	o0190b.lode-6.txt	46283
137	o0190b.lode-7.txt	34995
195	o0190b.lode-8.txt	46344
335	o0191b.lode-1.txt	80993
427	o0191b.lode-2.txt	108329
600	o0191b.lode-3.txt	123319
775	o0191b.lode-4.txt	203753
498	o0191b.lode-5.txt	130209
154	o0191b.lode-6.txt	35887
145	o0191b.lode-7.txt	32397
195	o0191b.lode-8.txt	46939
412	o0192b.lode-1.txt	104630
582	o0192b.lode-2.txt	149711
768	o0192b.lode-3.txt	183657
1223	o0192b.lode-4.txt	332659
772	o0192b.lode-5.txt	206323
193	o0192b.lode-6.txt	46054
135	o0192b.lode-7.txt	35420
194	o0192b.lode-8.txt	47445
414	o0193b.lode-1.txt	106412
651	o0193b.lode-2.txt	148205
694	o0193b.lode-3.txt	181893
1072	o0193b.lode-4.txt	283620
748	o0193b.lode-5.txt	192894
242	o0193b.lode-6.txt	58797
